Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (count/min),Avg. Heart Rate (count/min),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swimming Stroke Count,Swim Cadence (spm),Lap Length (km),Swim Stroke Style,SWOLF Score,Water Salinity,Temperature (degC),Humidity (%),Location,
Traditional Strength Training,2025-11-29 09:21,2025-11-29 10:37,01:15:54,379.14764920787366,517.4400071329368,3.0995036375625404,144.0,101.40577759351861,0.0,0.0,0.0,0.0,0.0,0.0,1356.1937585065532,17.86696947303185,0.0,0.0,0.0,,0.0,,12.325605392453781,80.0,,
Traditional Strength Training,2025-11-26 08:25,2025-11-26 09:55,01:30:01,450.1071086711177,608.633928,3.0724809322313607,147.0,100.7039449285123,0.0,0.0,0.0,0.0,0.0,0.0,1586.962593826728,17.626895085431748,0.0,0.0,0.0,,0.0,,10.14504241943132,82.0,,
Traditional Strength Training,2025-11-24 12:49,2025-11-24 13:47,00:58:16,336.0224385934473,401.0615039999999,4.061298403925198,155.0,112.1115420312349,0.0,0.0,0.0,0.0,0.0,0.0,1022.8900847397227,17.552158977422547,0.0,0.0,0.0,,0.0,,14.562925338742787,74.0,,
Traditional Strength Training,2025-11-20 11:11,2025-11-20 12:32,01:20:22,373.8209999999891,545.304904,2.6151847081434956,143.0,100.25967403877175,0.0,0.0,0.0,0.0,0.0,0.0,1058.999999999999,13.175956078162839,0.0,0.0,0.0,,0.0,,16.786319732663685,63.0,,
Traditional Strength Training,2025-11-06 12:04,2025-11-06 13:21,01:17:19,373.3568849020606,517.8578639999998,2.732459960157782,112.0,103.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,1056.9999999999998,13.670218646606736,0.0,0.0,0.0,,0.0,,17.99999999999767,77.0,,
Outdoor Walk,2025-11-05 14:49,2025-11-05 15:06,00:17:12,75.20022960587832,122.98564617162657,4.126263219590176,122.0,108.21967011757644,1.118447415849194,0.0,0.0,0.0,0.0,0.0,1374.2960563762822,79.87472396490529,0.0,0.0,0.0,,0.0,,0.0,0.0,Outdoor,
Traditional Strength Training,2025-11-05 13:40,2025-11-05 14:47,01:07:03,343.4717471028973,465.8967679999996,3.3122935543587566,148.0,103.82466388756369,0.0,0.0,0.0,0.0,0.0,0.0,1213.600460224413,18.098413924426264,0.0,0.0,0.0,,0.0,,18.52566146850353,76.0,,
Traditional Strength Training,2025-11-01 12:35,2025-11-01 13:48,01:12:46,430.57218989502604,493.4455930338427,3.994069032416891,158.0,110.88224525992239,0.0,0.0,0.0,0.0,0.0,0.0,1066.90504970775,14.659037793900136,0.0,0.0,0.0,,0.0,,19.135982513425404,62.0,,
Traditional Strength Training,2025-10-31 08:31,2025-10-31 09:34,01:03:11,391.2579949838378,433.3368799999997,4.562403518801306,156.0,112.17571197606908,0.0,0.0,0.0,0.0,0.0,0.0,1161.9999999999993,18.388354053916252,0.0,0.0,0.0,,0.0,,10.890086174008957,85.0,,
Traditional Strength Training,2025-10-26 10:07,2025-10-26 11:41,01:33:40,571.2374084374057,646.6325366661833,4.503831262062992,162.0,113.03933266143763,0.0,0.0,0.0,0.0,0.0,0.0,2985.8528445758157,31.87700933997269,0.0,0.0,0.0,,0.0,,16.414630889890248,82.0,,
Traditional Strength Training,2025-10-23 12:30,2025-10-23 13:46,01:16:09,482.6255674224627,529.1008230035692,4.660589453253042,156.0,117.6013244755724,0.0,0.0,0.0,0.0,0.0,0.0,1670.783758502611,21.938987483850212,0.0,0.0,0.0,,0.0,,20.151803970334583,72.0,,
Traditional Strength Training,2025-10-22 07:37,2025-10-22 08:44,01:06:54,441.77659973681375,458.7201580598439,4.9458805646246855,157.0,115.22068154236598,0.0,0.0,0.0,0.0,0.0,0.0,1539.192475670361,23.00566970241238,0.0,0.0,0.0,,0.0,,13.380570411679855,85.0,,
Traditional Strength Training,2025-10-19 13:01,2025-10-19 14:17,01:16:26,394.0785785767465,523.8242479999999,3.3990316637977185,137.0,101.69190140129841,0.0,0.0,0.0,0.0,0.0,0.0,1628.1191840816348,21.299780344086905,0.0,0.0,0.0,,0.0,,16.244007110593373,78.0,,
Traditional Strength Training,2025-10-15 07:54,2025-10-15 08:51,00:57:01,326.26199999999557,395.2750319999999,3.986138154179354,150.0,113.47791111225469,0.0,0.0,0.0,0.0,0.0,0.0,1278.47233478449,22.4190590386518,0.0,0.0,0.0,,0.0,,11.213588714597336,94.0,,
Traditional Strength Training,2025-10-12 15:06,2025-10-12 16:19,01:12:38,477.98904603542036,496.8533876527391,4.903323378393745,155.0,118.55961122172762,0.0,0.0,0.0,0.0,0.0,0.0,1496.528645389652,20.60329527845163,0.0,0.0,0.0,,0.0,,16.000015258786732,72.0,,
Traditional Strength Training,2025-10-10 08:10,2025-10-10 09:17,01:06:56,441.15745935187573,460.4563681620796,4.937772313025566,155.0,116.46269373921527,0.0,0.0,0.0,0.0,0.0,0.0,1651.0000000000016,24.66493476660559,0.0,0.0,0.0,,0.0,,13.00799465179216,90.0,,
Outdoor Walk,2025-10-05 12:54,2025-10-05 14:38,01:44:37,389.0192680420471,720.3676479999997,4.203182110448656,116.0,89.64274593446365,7.495111057046353,0.0,0.0,0.0,93.78,0.0,10017.999999999998,95.74933255851434,0.0,0.0,0.0,,0.0,,20.763736724851185,62.0,Outdoor,
Rowing,2025-10-04 14:14,2025-10-04 14:39,00:24:15,131.8540000000002,170.82435199999992,5.556564647820585,164.0,123.01533860066779,0.0,0.0,0.0,0.0,0.0,0.0,963.0494568033297,39.7030181853487,0.0,0.0,0.0,,0.0,,20.495670318601185,62.0,Indoor,
Traditional Strength Training,2025-10-04 12:58,2025-10-04 14:14,01:15:26,373.4639550675786,519.0419359999999,3.0610707146346128,136.0,101.15547383628454,0.0,0.0,0.0,0.0,0.0,0.0,1293.244470672355,17.14050624680443,0.0,0.0,0.0,,0.0,,20.662120819089466,61.0,,
Traditional Strength Training,2025-10-02 13:17,2025-10-02 14:19,01:02:34,334.49799999999374,434.20622066518524,3.683583025651255,143.0,104.9632637074741,0.0,0.0,0.0,0.0,0.0,0.0,1316.3416072146777,21.033495306475167,0.0,0.0,0.0,,0.0,,21.753969192502495,55.00000000000001,,
Traditional Strength Training,2025-10-01 11:19,2025-10-01 12:26,01:06:42,382.49394656545184,458.302060626979,3.901488650385203,148.0,112.4472928026792,0.0,0.0,0.0,0.0,0.0,0.0,1355.000000000001,20.312057238286823,0.0,0.0,0.0,,0.0,,18.781768798825794,57.99999999999999,,
Traditional Strength Training,2025-09-28 11:45,2025-09-28 12:40,00:54:55,278.01243298196863,376.6384658809427,3.1874057425677065,149.0,109.70951952648461,0.0,0.0,0.0,0.0,0.0,0.0,1007.7696606743551,18.34606493149051,0.0,0.0,0.0,,0.0,,19.25045394897228,61.0,,
Traditional Strength Training,2025-09-12 16:10,2025-09-12 18:26,02:13:40,589.4687438159336,929.8605279999995,2.4202052911243164,130.0,92.36127615999334,0.0,0.0,0.0,0.0,0.0,0.0,2014.26967047156,15.068721633632803,0.0,0.0,0.0,,0.0,,26.03771018981695,62.0,,
Outdoor Walk,2025-09-04 17:07,2025-09-04 17:57,00:50:09,188.6318732738337,309.97208290754236,4.516335105437126,117.0,91.13793309815358,2.456157284470901,0.0,0.0,0.0,30.19,0.0,2990.0,59.618644958943335,0.0,0.0,0.0,,0.0,,27.737054824826714,61.0,Outdoor,
Traditional Strength Training,2025-09-03 11:55,2025-09-03 13:04,01:08:38,365.3887619954224,472.87300271826024,3.967267347981465,141.0,105.73290103400504,0.0,0.0,0.0,0.0,0.0,0.0,1960.2702680290392,28.558355829130452,0.0,0.0,0.0,,0.0,,28.389255523679253,53.0,,
Traditional Strength Training,2025-08-29 13:32,2025-08-29 14:49,01:16:40,350.62640815712604,526.812380076498,2.755817641091538,134.0,96.64069885606972,0.0,0.0,0.0,0.0,0.0,0.0,1509.0,19.680448316993598,0.0,0.0,0.0,,0.0,,29.44703865051025,52.0,,
Outdoor Walk,2025-08-28 12:29,2025-08-28 12:56,00:26:10,100.41691849845124,147.35935796819822,4.033029561540308,108.0,96.74987214382638,1.5951256077913722,0.0,0.0,0.0,0.0,0.0,1212.8988211005994,46.339135372955624,0.0,0.0,0.0,,0.0,,27.23271942138433,52.0,Outdoor,
Traditional Strength Training,2025-08-27 18:42,2025-08-27 19:47,01:05:09,308.7958225362885,452.1611830148456,3.2500033211513046,137.0,98.19799909816474,0.0,0.0,0.0,0.0,0.0,0.0,1908.469124113041,29.287239142076142,0.0,0.0,0.0,,0.0,,23.996820449826714,62.0,,
Traditional Strength Training,2025-08-27 18:15,2025-08-27 18:41,00:25:52,107.70779917321117,178.53990881086378,2.802539176204198,104.0,75.15969602800962,0.0,0.0,0.0,0.0,0.0,0.0,916.3852886970766,35.41626495612828,0.0,0.0,0.0,,0.0,,24.460649490354058,60.0,,
Traditional Strength Training,2025-08-24 17:54,2025-08-24 19:58,02:04:30,577.1899999999996,861.3708868520828,3.094121780292976,139.00000000000003,100.1672316659598,0.0,0.0,0.0,0.0,0.0,0.0,3345.0000000000027,26.86624798702718,0.0,0.0,0.0,,0.0,,25.444183349606988,46.0,,
Traditional Strength Training,2025-08-23 19:43,2025-08-23 20:47,01:03:53,352.66710420257624,437.69099819417585,4.004751234995087,149.0,111.270071377417,0.0,0.0,0.0,0.0,0.0,0.0,1300.6342733776753,20.35853653794438,0.0,0.0,0.0,,0.0,,23.84539604186773,64.0,,
Traditional Strength Training,2025-08-20 19:23,2025-08-20 20:32,01:09:32,423.4939999999926,479.5608407408206,4.576513932575179,151.0,114.3147891421698,0.0,0.0,0.0,0.0,0.0,0.0,1827.2009886513624,26.27217237345358,0.0,0.0,0.0,,0.0,,24.04237747192144,60.0,,
Traditional Strength Training,2025-08-17 16:11,2025-08-17 17:47,01:35:49,650.7249183676157,651.019356218429,5.202469984312603,155.0,117.62602049834078,0.0,0.0,0.0,0.0,0.0,0.0,2724.9999999999986,28.437902806016595,0.0,0.0,0.0,,0.0,,27.77920722961187,53.0,,
Traditional Strength Training,2025-08-16 09:54,2025-08-16 11:27,01:33:08,570.2022616311328,639.3277519999997,4.68331490966248,155.0,112.44656983364251,0.0,0.0,0.0,0.0,0.0,0.0,2770.859857249109,29.748277285482434,0.0,0.0,0.0,,0.0,,25.687440872189995,56.99999999999999,,
Traditional Strength Training,2025-08-14 13:01,2025-08-14 14:47,01:46:03,684.8955112109813,730.0634923873258,4.966645271609182,156.0,115.68262048733439,0.0,0.0,0.0,0.0,0.0,0.0,3288.6199442266584,31.006260568414486,0.0,0.0,0.0,,0.0,,29.02877807616943,53.0,,
Traditional Strength Training,2025-08-12 18:18,2025-08-12 19:14,00:55:57,410.46399999999454,382.95431461841355,5.724242939778928,161.0,122.14394697880331,0.0,0.0,0.0,0.0,0.0,0.0,1071.875785734983,19.154687974050958,0.0,0.0,0.0,,0.0,,27.22635650634527,62.0,,
Traditional Strength Training,2025-08-09 11:05,2025-08-09 12:11,01:06:38,383.29699999999355,459.6125164244719,4.161070601887264,148.0,109.17637418059071,0.0,0.0,0.0,0.0,0.0,0.0,1680.9981090516137,25.22269721524084,0.0,0.0,0.0,,0.0,,27.80362129211187,66.0,,
